Protein,Domain,Range,ECOD_num,ECOD_key,T-group,DPAM_prob,HH_prob,DALI_zscore,Hit_cov,Tgroup_cov,Judge,Hcount,Scount,subset,domain_length,bin,intracellular_percentage
P18621,nD1,1-165,2786286,e6xu8CP1,218.2.1,0.997,0.999,23.1,0.881,1.071,good_domain,5,8,subset_232,165,2,100.0
Q09161,nD1,16-290,2146284,e5oobF3,109.4.1,0.999,1.0,35.1,1.0,0.962,good_domain,8,2,subset_232,275,2,100.0
Q09161,nD2,291-480,60002,e1h6kC2,109.4.1,0.997,1.0,24.4,1.0,0.664,good_domain,9,1,subset_232,190,2,100.0
Q09161,nD3,481-790,60011,e1h6kC3,109.4.1,1.0,1.0,26.0,0.939,1.084,good_domain,11,0,subset_232,310,2,100.0
P49915,nD1,26-215,104092,e1gpmC3,2007.1.1,0.997,1.0,30.1,0.927,0.896,good_domain,5,8,subset_88,190,2,100.0
P49915,nD2,"216-485,491-693",2832076,e7mo6B3,2005.1.1,0.992,1.0,19.6,0.933,2.21,good_domain,15,13,subset_88,473,2,100.0
P22455,nD1,31-120,2123352,e5vi4E1,11.1.1,0.996,0.998,7.1,0.68,0.833,good_domain,1,7,subset_88,90,1,0.0
P22455,nD2,136-245,2101631,e5w59B1,11.1.1,0.997,0.996,19.0,1.0,1.019,good_domain,3,9,subset_88,110,1,0.0
P22455,nD3,246-360,1218937,e3ojmB4,11.1.1,0.998,0.996,18.2,0.991,1.065,good_domain,1,7,subset_88,115,1,0.0
P22455,nD4,366-390,1764134,e2n2aA1,3569.1.1,0.893,0.547,0.0,0.293,0.431,simple_topology,1,0,subset_88,25,0,4.0
P22455,nD5,446-750,1674573,e5a46B1,206.1.1,1.0,1.0,35.2,0.916,1.013,good_domain,10,9,subset_88,305,2,100.0
P30291,nD1,282-580,146736,e2yleA1,206.1.1,0.984,0.922,11.4,0.616,0.993,good_domain,9,8,subset_88,299,2,100.0
P30291,nD2,581-620,2321841,e4xr7C2,1016.1.1,0.817,0.999,0.0,na,na,simple_topology,1,0,subset_88,40,0,100.0
Q99650,nD1,1-140,1162548,e3e0gA8,11.1.1,1.0,1.0,14.3,0.915,1.296,good_domain,1,7,subset_88,140,1,16.428571428571427
Q99650,nD2,146-235,1162549,e3e0gA9,11.1.1,1.0,1.0,11.3,0.94,0.833,good_domain,0,8,subset_88,90,1,0.0
Q99650,nD3,236-330,33112,e2d9qB1,11.1.1,1.0,0.998,10.0,0.821,0.88,good_domain,1,7,subset_88,95,1,0.0
Q99650,nD4,331-425,1549419,e4y5vF1,11.1.1,1.0,0.991,13.2,0.85,0.88,good_domain,0,7,subset_88,95,1,0.0
Q99650,nD5,426-525,2527388,e6mfaA3,11.1.1,1.0,0.998,12.2,0.934,0.926,good_domain,0,7,subset_88,100,1,0.0
Q99650,nD6,526-620,2768043,e6xayC2,11.1.1,1.0,0.994,9.6,0.828,0.88,good_domain,0,7,subset_88,95,1,0.0
Q99650,nD7,621-760,1883942,e5e4qA1,11.1.1,0.999,0.996,10.9,0.941,1.296,good_domain,1,8,subset_88,140,1,0.0
Q6ISB3,nD1,"246-435,466-485",2387776,e5mphA1,11.1.5,0.997,1.0,30.4,0.833,1.364,good_domain,4,11,subset_115,210,2,100.0
Q6ISB3,nD2,536-625,991026,e4dwfB1,221.1.1,0.984,0.0,4.9,0.899,0.957,good_domain,2,6,subset_115,90,1,100.0
Q16288,nD1,1-205,1406724,e4pbwA1,207.1.1,0.997,0.998,28.0,0.931,0.722,good_domain,3,7,subset_115,205,2,15.121951219512194
Q16288,nD2,206-300,1406713,e4pbvA2,11.1.1,0.997,0.998,15.4,0.929,0.88,good_domain,0,8,subset_115,95,1,0.0
Q16288,nD3,"301-405,431-455",1954718,e5t89Y2,11.1.1,0.993,0.992,8.8,0.386,1.204,good_domain,2,7,subset_115,130,1,1.5384615384615385
Q16288,nD4,516-839,2542775,e6kzdA1,206.1.1,0.993,1.0,38.3,0.887,1.076,good_domain,11,8,subset_115,324,2,100.0
P49768,nD1,"71-285,376-465",2429565,e6idfB1,3542.1.1,1.0,1.0,39.4,0.98,1.222,good_domain,10,1,subset_115,305,2,23.278688524590162
P49768,nD2,351-375,119235,e2kr6A1,3542.1.1,0.981,0.999,0.0,0.142,0.1,simple_topology,1,0,subset_115,25,0,100.0
P36888,nD1,36-160,415216,e3qs7F3,11.1.1,0.996,1.0,10.5,0.882,1.157,good_domain,2,10,subset_1,125,1,0.0
P36888,nD2,166-245,415217,e3qs7F4,11.1.1,1.0,1.0,12.4,0.817,0.741,good_domain,0,6,subset_1,80,0,0.0
P36888,nD3,246-345,415214,e3qs7F1,11.1.1,1.0,1.0,17.7,0.99,0.926,good_domain,1,8,subset_1,100,1,0.0
P36888,nD4,346-435,1874457,e3qs9G1,11.1.1,1.0,1.0,16.4,0.926,0.833,good_domain,0,8,subset_1,90,1,0.0
P36888,nD5,"436-565,576-715,771-960",1871755,e5k5xA1,206.1.1,0.992,0.999,45.5,0.939,1.528,good_domain,12,18,subset_1,460,2,72.3913043478261
P07437,nD1,1-240,151218,e4drxB2,2003.1.6,0.999,1.0,33.4,0.959,1.165,good_domain,9,7,subset_1,240,2,100.0
P07437,nD2,241-430,151217,e4drxB1,301.6.1,0.995,1.0,18.1,0.989,1.301,good_domain,5,5,subset_1,190,2,100.0
Q13003,nD1,"36-155,286-390",2122609,e5kc9A1,2007.1.2,0.996,1.0,25.6,0.684,1.573,good_domain,7,7,subset_1,225,2,0.0
Q13003,nD2,"156-285,391-415",1881769,e3qluB1,2007.1.2,0.999,1.0,21.9,0.56,1.084,good_domain,4,9,subset_1,155,2,0.0
Q13003,nD3,"431-535,766-810",1523290,e1yaeB2,7523.1.1,0.997,0.999,27.3,0.935,1.0,good_domain,4,5,subset_1,150,1,0.0
Q13003,nD4,"536-555,661-765",2062177,e4q0cC4,7523.1.1,0.998,0.977,16.4,0.336,0.833,good_domain,5,6,subset_1,125,1,0.0
Q13003,nD5,"556-660,816-870",2816920,e7f57A3,5054.1.1,0.987,1.0,12.3,0.528,0.702,good_domain,5,3,subset_1,160,2,53.125
P01854,nD1,6-105,1111492,e4lfhG1,11.1.1,0.998,0.972,11.6,0.816,0.926,good_domain,2,7,subset_1,100,1,0.0
P01854,nD2,111-210,404646,e2wqrB1,11.1.1,0.999,0.999,14.9,0.891,0.926,good_domain,1,7,subset_1,100,1,0.0
P01854,nD3,211-315,404647,e2wqrB2,11.1.1,0.999,0.999,19.4,0.962,0.972,good_domain,1,7,subset_1,105,1,0.0
P01854,nD4,"316-425,501-525",2141921,e5nqwB1,11.1.1,0.999,0.997,18.4,0.94,1.25,good_domain,3,7,subset_1,135,1,5.185185185185185
P21860,nD1,26-205,389598,e3h3bA1,207.1.1,0.993,0.999,27.9,0.927,0.634,good_domain,1,5,subset_84,180,2,0.0
P21860,nD2,206-325,1851307,e2ahxA5,389.6.1,0.998,1.0,12.2,0.768,0.902,good_domain,0,12,subset_84,120,1,0.0
P21860,nD3,326-530,1584712,e3p11A2,207.1.1,0.993,1.0,33.0,0.99,0.722,good_domain,2,8,subset_84,205,2,0.0
P21860,nD4,531-630,147709,e3qwqA4,389.6.1,0.999,1.0,11.7,0.746,0.752,good_domain,0,7,subset_84,100,1,0.0
P21860,nD5,"661-680,701-1003",379980,e3kexA1,206.1.1,0.99,1.0,40.4,0.936,1.073,good_domain,12,9,subset_84,323,2,98.76160990712074
P51160,nD1,"6-35,41-235",2697340,e6x88A1,223.1.1,0.994,1.0,27.3,0.964,1.541,good_domain,7,6,subset_84,225,2,100.0
P51160,nD2,"236-285,311-435",2697341,e6x88A2,223.1.1,0.995,1.0,27.2,0.898,1.199,good_domain,4,6,subset_84,175,2,100.0
P51160,nD3,461-835,2396734,e6c7eA1,131.1.1,0.999,1.0,41.8,0.974,1.623,good_domain,13,0,subset_84,375,2,100.0
P24941,nD1,1-298,2463870,e6q4kA1,206.1.1,0.999,1.0,41.9,0.963,0.99,good_domain,7,8,subset_84,298,2,100.0
P32942,nD1,31-115,1220114,e3rnqB4,11.1.1,1.0,0.994,9.3,0.44,0.787,good_domain,0,8,subset_84,85,0,0.0
P32942,nD2,116-215,1220114,e3rnqB4,11.1.1,0.999,0.994,9.3,0.419,0.926,good_domain,2,7,subset_84,100,1,0.0
P32942,nD3,216-315,1163639,e1p53A5,11.1.1,0.999,0.999,18.4,1.0,0.926,good_domain,2,8,subset_84,100,1,0.0
P32942,nD4,316-395,1697,e2oz4A1,11.1.1,1.0,0.999,13.8,0.929,0.741,good_domain,0,7,subset_84,80,0,0.0
P32942,nD5,"396-480,486-510",1707,e2oz4A3,11.1.1,1.0,0.999,15.1,0.976,1.019,good_domain,2,5,subset_84,110,1,0.0
Q96JJ3,nD1,6-80,2512599,e6idxA1,221.1.1,0.994,1.0,17.0,0.987,0.798,good_domain,3,4,subset_65,75,0,100.0
Q96JJ3,nD2,81-295,4617,e1xm9A1,109.4.1,0.997,0.962,13.0,0.473,0.752,good_domain,12,1,subset_65,215,2,100.0
Q96JJ3,nD3,296-520,2504397,e6ie1A1,7060.1.1,0.991,1.0,27.5,0.986,1.023,good_domain,9,1,subset_65,225,2,100.0
Q96JJ3,nD4,526-700,2643003,e6tgbB1,220.1.1,0.991,1.0,15.9,0.797,1.434,good_domain,5,6,subset_65,175,2,100.0
O75762,nD1,31-275,2136418,e5ma3A1,109.3.1,0.999,0.999,25.4,0.599,1.231,good_domain,13,0,subset_65,245,2,100.0
O75762,nD2,276-405,1842586,e5ja4D1,109.3.1,0.994,0.0,16.1,0.812,0.653,good_domain,8,3,subset_65,130,1,100.0
O75762,nD3,406-700,2494239,e6molA2,109.3.1,0.999,1.0,27.7,0.413,1.482,good_domain,15,3,subset_65,295,2,100.0
O75762,nD4,701-1070,2322773,e5wj9B2,5054.1.1,0.999,0.993,11.9,0.781,1.623,good_domain,10,4,subset_65,370,2,47.027027027027025
O15530,nD1,76-375,80269,e1h1wA1,206.1.1,0.999,1.0,45.2,0.972,0.997,good_domain,10,10,subset_65,300,2,100.0
O15530,nD2,401-555,28839,e1w1hB1,220.1.1,0.996,0.988,23.8,0.986,1.27,good_domain,3,7,subset_65,155,2,100.0
P04435,nD1,21-115,2604978,e6oo0H1,11.1.1,0.996,0.989,11.9,0.561,0.88,good_domain,2,8,subset_65,95,1,0.0
P62942,nD1,1-108,391539,e3mdyB1,284.1.1,0.998,0.994,23.0,0.991,0.973,good_domain,2,6,subset_433,108,1,100.0
Q06432,nD1,6-215,2496865,e6jpaE1,633.23.1,0.992,1.0,20.5,0.804,1.123,good_domain,4,5,subset_433,210,2,10.0
P08637,nD1,21-105,1747,e1fnlA1,11.1.1,0.999,0.997,16.5,1.0,0.787,good_domain,1,8,subset_433,85,0,0.0
P08637,nD2,"106-190,196-230",1748,e1fnlA2,11.1.1,0.999,0.997,17.4,0.955,1.111,good_domain,3,9,subset_433,120,1,0.8333333333333334
O75874,nD1,106-285,2601935,e1t0lA1,7510.1.1,1.0,1.0,24.4,0.994,0.986,good_domain,5,9,subset_470,180,2,100.0
O75874,nD2,"1-105,286-414",2601073,e4ja8A1,7510.1.1,0.999,1.0,36.2,0.979,1.282,good_domain,10,5,subset_470,234,2,100.0
P62861,nD1,1-70,141924,e2l7rA1,221.1.1,0.998,0.967,14.3,0.946,0.745,good_domain,2,5,subset_470,70,0,1.0
P62861,nD2,96-133,2512481,e6rm3SEE1,3168.1.1,0.968,0.997,0.0,0.661,0.655,simple_topology,1,0,subset_470,38,0,1.0
Q92854,nD1,26-500,43841,e1olzB2,5.1.4,0.971,1.0,61.7,0.985,1.323,good_domain,5,30,subset_470,475,2,0.0
Q92854,nD2,501-555,2512612,e6fkmB2,355.1.1,1.0,1.0,8.0,0.881,1.0,good_domain,1,2,subset_470,55,0,0.0
Q92854,nD3,556-655,39102,e1olzB1,11.1.1,0.999,1.0,16.8,0.989,0.926,good_domain,1,7,subset_470,100,1,0.0
Q9NZM3,nD1,6-105,1756093,e2jq6A1,108.1.1,0.998,0.98,13.5,0.922,1.124,good_domain,4,2,subset_50,100,1,100.0
Q9NZM3,nD2,236-330,134278,e2kgrA1,108.1.1,0.999,0.977,12.2,0.922,1.067,good_domain,4,2,subset_50,95,1,100.0
Q9NZM3,nD3,"396-425,481-530,626-695",1756673,e3vkgA15,148.1.3,0.95,0.929,0.0,0.51,1.613,simple_topology,2,0,subset_50,150,1,100.0
Q9NZM3,nD4,576-625,2816307,e6z26B1,192.8.1,0.932,0.886,2.3,0.359,0.68,simple_topology,1,0,subset_50,50,0,100.0
Q9NZM3,nD5,716-740,2085433,e5nugB13,148.1.3,0.897,0.286,0.0,0.196,0.269,simple_topology,1,0,subset_50,25,0,100.0
Q9NZM3,nD6,756-820,164565,e2gtjA1,4.1.1,0.999,0.885,5.8,0.667,0.812,good_domain,1,4,subset_50,65,0,100.0
Q9NZM3,nD7,891-960,2132365,e6b25A2,4.1.1,0.999,0.943,6.9,0.966,0.875,good_domain,1,4,subset_50,70,0,100.0
Q9NZM3,nD8,971-1040,2145750,e6b26A1,4.1.1,0.999,0.958,9.5,0.905,0.875,good_domain,1,4,subset_50,70,0,100.0
Q9NZM3,nD9,1041-1120,2145750,e6b26A1,4.1.1,0.998,0.884,8.7,0.921,1.0,good_domain,1,4,subset_50,80,0,100.0
Q9NZM3,nD10,1121-1195,2145750,e6b26A1,4.1.1,0.999,0.843,8.8,0.937,0.938,good_domain,1,4,subset_50,75,0,100.0
Q9NZM3,nD11,1196-1410,395045,e3jv3B1,133.1.1,0.997,0.998,30.5,0.933,1.024,good_domain,7,1,subset_50,215,2,100.0
Q9NZM3,nD12,1411-1560,929,e1ki1B1,220.1.1,0.997,1.0,18.6,0.915,1.23,good_domain,3,8,subset_50,150,1,100.0
Q9NZM3,nD13,1566-1695,136617,e3jzyA1,11.2.1,0.999,1.0,22.5,1.0,0.922,good_domain,1,8,subset_50,130,1,100.0
Q09428,nD1,6-215,2736827,e6z0cC1,150.1.1,0.96,0.0,10.4,0.646,1.296,good_domain,6,1,subset_50,210,2,29.523809523809526
Q09428,nD2,"216-325,331-400,416-455,461-560,576-630,981-1320",2487485,e6jb3B1,1075.4.1,1.0,1.0,27.3,0.944,2.217,good_domain,17,2,subset_50,715,3,54.40559440559441
Q09428,nD3,666-950,185615,e3zqjA1,2004.1.1,0.997,0.949,15.8,0.664,1.278,good_domain,8,10,subset_50,285,2,100.0
Q09428,nD4,1326-1575,185615,e3zqjA1,2004.1.1,0.998,0.988,15.8,0.664,1.121,good_domain,8,10,subset_50,250,2,100.0
P14555,nD1,21-144,88350,e1n28A1,371.1.1,0.999,1.0,23.8,1.0,1.016,good_domain,3,2,subset_50,124,1,0.0
P29279,nD1,41-95,1168850,e3tjqA5,389.6.1,0.983,0.879,4.3,0.7,0.414,good_domain,1,4,subset_50,55,0,0.0
P29279,nD2,101-165,2512605,e6n29A6,391.1.1,0.994,0.387,3.8,0.773,1.413,good_domain,0,7,subset_50,65,0,0.0
P29279,nD3,236-330,1125646,e4nt5A1,385.1.1,0.982,0.911,6.1,0.785,0.896,good_domain,0,4,subset_50,95,1,0.0
Q9BT81,nD1,41-120,2426,e1v64A1,190.1.1,0.995,0.974,4.3,0.685,0.964,good_domain,3,0,subset_367,80,0,100.0
Q9HC29,nD1,31-120,193851,e2dbhA1,110.1.1,0.99,0.0,7.0,0.794,0.938,good_domain,4,0,subset_367,90,1,100.0
Q9HC29,nD2,131-205,2410076,e6gwmA1,110.1.1,0.988,0.879,9.3,0.584,0.781,good_domain,5,0,subset_367,75,0,100.0
Q9HC29,nD3,216-445,1854642,e5irmC4,2004.1.1,0.997,1.0,30.6,0.902,1.031,good_domain,9,10,subset_367,230,2,100.0
Q9HC29,nD4,446-525,2809336,e7alvA3,148.1.3,0.991,1.0,8.3,0.892,0.86,good_domain,4,1,subset_367,80,0,100.0
Q9HC29,nD5,541-600,1854641,e5irmC3,101.1.2,0.988,1.0,10.0,0.853,0.632,good_domain,2,2,subset_367,60,0,100.0
Q9HC29,nD6,"601-630,656-760",2809335,e7alvA2,3736.1.1,0.992,1.0,6.5,0.748,1.0,good_domain,7,1,subset_367,135,1,100.0
Q9HC29,nD7,766-1040,2770911,e7mlmA1,207.1.1,0.998,0.984,14.4,0.38,0.968,good_domain,10,13,subset_367,275,2,100.0
Q99460,nD1,"1-275,316-345",2793095,e7d63RD1,109.4.1,0.986,0.253,6.4,0.396,1.066,good_domain,17,0,subset_367,305,2,100.0
Q99460,nD2,346-935,1884987,e5l4kN2,109.35.1,1.0,1.0,59.2,0.991,1.077,good_domain,26,7,subset_367,590,3,100.0
Q9UBH6,nD1,1-220,2793935,e7e40B2,1065.1.1,0.994,0.999,17.4,0.93,1.229,good_domain,8,0,subset_60,220,2,100.0
Q9UBH6,nD2,231-620,1868016,e5b0wA1,5001.1.1,0.978,0.0,9.7,0.766,1.366,good_domain,12,0,subset_60,390,2,32.30769230769231
O43613,nD1,21-380,2565169,e6todB1,5001.1.1,1.0,1.0,40.4,0.864,1.261,good_domain,10,2,subset_60,360,2,31.11111111111111
P06213,nD1,36-185,1559013,e4xssE2,207.1.1,0.996,1.0,28.2,0.949,0.528,good_domain,2,6,subset_60,150,1,0.0
P06213,nD2,"26-35,186-335",304137,e2hr7A1,389.6.1,0.998,1.0,18.2,0.98,1.203,good_domain,2,14,subset_60,160,2,1.25
P06213,nD3,336-490,2072368,e4zxbE7,207.1.1,0.997,1.0,31.2,0.945,0.546,good_domain,2,5,subset_60,155,2,0.0
P06213,nD4,491-620,2415083,e6hn5F2,11.1.1,0.998,1.0,19.1,0.696,1.204,good_domain,1,8,subset_60,130,1,0.0
P06213,nD5,"621-740,796-955",2573706,e6pxvA2,11.1.1,0.997,1.0,18.0,1.0,2.593,good_domain,2,14,subset_60,280,2,0.0
P06213,nD6,956-980,2449452,e6grtB3,11.1.1,0.989,0.0,6.0,0.07,0.231,simple_topology,1,0,subset_60,25,0,8.0
P06213,nD7,991-1333,7089,e1p4oA1,206.1.1,0.995,1.0,40.7,0.961,1.14,good_domain,9,8,subset_60,343,2,100.0
P12272,nD1,41-65,2105883,e5xtcW1,1132.1.1,0.388,0.0,2.4,na,na,simple_topology,1,0,subset_60,25,0,0.0
O75165,nD1,6-110,296642,e2d4qA2,220.1.1,0.995,0.569,11.8,0.784,0.861,good_domain,2,6,subset_197,105,1,100.0
O75165,nD2,111-215,1414921,e4r8gE1,220.1.1,0.993,0.244,10.9,0.523,0.861,good_domain,2,6,subset_197,105,1,100.0
O75165,nD3,216-335,1390080,e3a58A1,220.1.1,0.997,0.639,10.9,0.568,0.984,good_domain,3,8,subset_197,120,1,100.0
O75165,nD4,"336-745,751-835",1289025,e4cruB1,109.4.1,0.988,0.0,16.1,0.727,1.731,good_domain,22,3,subset_197,495,2,100.0
O75165,nD5,971-1025,379802,e3fmaC1,822.1.1,0.995,0.925,6.3,0.593,0.705,good_domain,2,4,subset_197,55,0,100.0
O75165,nD6,"841-970,1026-1150,1166-1190,1221-1240",2643005,e6tgbB3,109.4.1,1.0,0.271,10.5,0.823,1.049,good_domain,16,3,subset_197,300,2,100.0
O75165,nD7,"1151-1165,1191-1220,1241-1250,1271-1370",3693,e1gh6A1,650.1.1,0.993,0.832,4.6,0.579,1.95,good_domain,5,1,subset_197,155,2,100.0
O75165,nD8,"1251-1285,1371-1970",4581,e1wa5B1,109.4.1,1.0,0.985,15.0,0.528,2.22,good_domain,27,5,subset_197,635,3,100.0
O75165,nD9,"1976-2210,2216-2243",1307431,e4b8jA1,109.4.1,1.0,0.985,13.0,0.442,0.92,good_domain,12,1,subset_197,263,2,100.0
P36578,nD1,1-315,2819405,e6xu7CC2,7559.1.1,1.0,1.0,29.7,0.993,1.486,good_domain,9,8,subset_197,315,2,100.0
P36578,nD2,316-350,2603914,e6mteC1,3319.1.1,0.963,1.0,0.0,0.374,0.38,simple_topology,2,0,subset_197,35,0,100.0
Q04206,nD1,16-190,1236104,e2o61A5,11.1.5,0.997,1.0,30.1,1.0,1.136,good_domain,1,9,subset_197,175,2,100.0
Q04206,nD2,191-290,32461,e1oy3C1,11.1.1,0.999,0.999,21.0,0.935,0.926,good_domain,1,8,subset_197,100,1,100.0
P21802,nD1,36-135,1759213,e4kc3B1,11.1.1,0.996,0.998,10.5,0.856,0.926,good_domain,1,7,subset_83,100,1,0.0
P21802,nD2,136-250,2101631,e5w59B1,11.1.1,0.998,0.996,17.8,0.99,1.065,good_domain,1,9,subset_83,115,1,0.0
P21802,nD3,256-360,1218937,e3ojmB4,11.1.1,0.998,0.996,19.4,0.936,0.972,good_domain,2,7,subset_83,105,1,0.0
P21802,nD4,366-400,2100248,e5xsyB2,3774.1.1,0.963,0.976,0.0,0.738,0.833,simple_topology,1,0,subset_83,35,0,5.714285714285714
P21802,nD5,466-775,2163786,e6fekA1,206.1.1,1.0,1.0,36.0,0.962,1.03,good_domain,9,9,subset_83,310,2,100.0
P08922,nD1,16-40,2570371,e6p5mA1,206.1.1,1.0,0.0,23.1,0.04,0.083,simple_topology,1,0,subset_83,25,0,48.0
P08922,nD2,71-190,1319939,e4lxoA2,11.1.1,1.0,0.987,11.6,0.989,1.111,good_domain,2,7,subset_83,120,1,0.0
P08922,nD3,191-280,2806940,e7s7kA3,11.1.1,1.0,0.988,11.4,0.752,0.833,good_domain,0,7,subset_83,90,1,0.0
P08922,nD4,281-555,1867092,e5fwwA1,5.1.3,1.0,0.999,27.7,0.939,0.795,good_domain,2,22,subset_83,275,2,0.0
P08922,nD5,556-675,185592,e3va6A3,11.1.1,0.999,0.641,5.0,0.619,1.111,good_domain,0,7,subset_83,120,1,0.0
P08922,nD6,676-955,1204814,e4a0pA6,5.1.3,0.999,1.0,25.5,0.895,0.809,good_domain,1,23,subset_83,280,2,0.0
P08922,nD7,956-1040,1553,e1x5gA1,11.1.1,1.0,0.938,9.2,0.786,0.787,good_domain,0,7,subset_83,85,0,0.0
P08922,nD8,1041-1150,2806940,e7s7kA3,11.1.1,1.0,0.987,6.6,0.761,1.019,good_domain,0,8,subset_83,110,1,0.0
P08922,nD9,1151-1450,2712551,e6tpoA1,5.1.5,0.928,0.227,11.4,0.518,0.771,good_domain,3,22,subset_83,300,2,0.0
P08922,nD10,1456-1555,2163524,e5u8rA6,11.1.1,1.0,0.994,8.9,0.736,0.926,good_domain,0,7,subset_83,100,1,0.0
P08922,nD11,1556-1655,1482,e1tdqA2,11.1.1,1.0,0.992,10.0,0.913,0.926,good_domain,2,8,subset_83,100,1,0.0
P08922,nD12,1656-1750,2806940,e7s7kA3,11.1.1,1.0,0.983,9.6,0.718,0.88,good_domain,0,8,subset_83,95,1,0.0
P08922,nD13,"1751-1850,1861-1895,1926-2235",1030301,e3zbfA1,206.1.1,0.999,0.999,39.0,0.943,1.478,good_domain,10,14,subset_83,445,2,72.58426966292134
P45983,nD1,1-385,430078,e2xrwA1,206.1.1,0.999,1.0,48.0,0.956,1.279,good_domain,9,9,subset_83,385,2,100.0
O14763,nD1,76-140,1184748,e3u3qA6,389.1.3,0.996,0.973,6.9,0.756,1.204,good_domain,0,4,subset_83,65,0,0.0
O14763,nD2,141-188,1572594,e3alqT3,389.1.3,0.999,0.99,5.0,0.472,0.889,good_domain,1,4,subset_83,48,0,0.0
O14763,nD3,326-430,354353,e3ezqP1,110.1.1,0.995,0.966,11.6,0.929,1.094,good_domain,6,2,subset_83,105,1,100.0
Q9NX47,nD1,11-75,1288950,e2m6mA1,376.1.1,0.992,0.98,5.9,0.759,0.833,simple_topology,1,1,subset_153,65,0,100.0
Q9NX47,nD2,"96-170,206-265",2067093,e5kklB4,186.2.1,0.53,0.0,2.4,na,na,low_confidence,5,0,subset_153,135,1,24.444444444444443
